순번,용어,분야,영문,설명
449,FT.,District Heating,Facilitator,혁신전문가(촉진자)
450,FV,District Heating,Motor Inching Valve,전동식 인칭밸브
451,FV,District Heating,Flow Control Valve(=FCV),유량조절밸브
452,FVM,District Heating,Field Voltage Meter,계자전압계
453,FW,District Heating,Feed Water,급수
454,FW,District Heating,Front Wall,전벽(前壁)
455,FWH,District Heating,Feed Water Heater,급수가열기
456,FWT,District Heating,Feed Water Tank,급수저장조
457,GAAP,District Heating,Generally Accepted Accounting Principles,일반적으로 인정된 회계원칙
458,G/A Dwg,District Heating,General Arrangement Drawing,배치도 (개략도)
459,GAH,District Heating,Gas Air Heater,가스예열기
460,GB,District Heating,Guaranteed Bond,보증사채
461,GCB,District Heating,Gas Circuit Breaker,가스차단기
462,GE,District Heating,Gas Engine,가스엔진
463,GEN.,District Heating,Generator,발전기
464,GHR,District Heating,Gross Heat Rate,발전단 열소비율
465,GHV ,District Heating,Gross Heating Value(=HHV),고위발열량
466,GIB,District Heating,Gas Insulated Bus,가스절연모선
467,GIF,District Heating,Governor Free,자동 주파수조정
468,GIS,District Heating,Gas Insulated Switchgear,가스절연전기설비
469,GL,District Heating,Ground Level,지면높이
470,GOV.,District Heating,Governor,조속기
471,GP,District Heating,Governing Point,Full Close된 상태의 밸브점
472,GPS,District Heating,Global Positioning System,위치표적장치
473,GPM,District Heating,Gallon Per Minute,체적유량단위
474,GR,District Heating,Guaranteed Reagent ,시약등급
475,GR,District Heating,Ground Relay,접지계전기
476,GSC,District Heating,Grand Steam Condenser,밀봉증기 응축기
477,G/T,District Heating,Gas Turbine,가스터빈
478,G2B,District Heating,Government To Business,정부가 기업을 대상으로하는사업
479,GTC,District Heating,General Terms & Condition,계약일반조건
480,HAD,District Heating,Hot Air Damper,고온공기용 댐퍼
481,HAG,District Heating,Hot Air Gate,고온공기용 게이트
482,H/C,District Heating,Hydro Coupling,유체커플링
483,HCF,District Heating,High Cycle Fatigue,고주파 피로
484,HDP,District Heating,Heater Drain Pump,급수가열기 응축수펌프
485,HDR,District Heating,Header,헤더
486,H/E,District Heating,Heat Exchanger,열교환기
487,HEA,District Heating,High Energy Arc,고 에너지 아크
